___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2025/1/1 to 2025/1/31                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
| #114 | x1  | Johann Straus Ii/An Der Schonen Blauen Donau                                                 | 0 Minutes and 0 Seconds     |
| #115 | x1  | Guns N Roses/Appetite For Destruction                                                        | 53 Minutes and 48 Seconds   |
| #116 | x1  | Sergei Rachmaninov/Rhapsody On A Theme Of Paganini                                           | 23 Minutes and 31 Seconds   |
| #117 | x1  | Janes Addiction/Janes Addiction                                                              | 40 Minutes and 1 Seconds    |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
|_________________________________________________________________________________________________________________________________________|

281 listens to albums in total

899479 total seconds spent listening to music, equivalent to 14991 Minutes, 249 Hours or 10 Days. That is 2.74% of the year
Press Enter to continue...
