___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2026/6/1 to 2026/6/30                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
| #98  | x1  | Van Halen/1984                                                                               | 33 Minutes and 22 Seconds   |
| #99  | x1  | Genesis/The Lamb Lies Down On Broadway                                                       | 94 Minutes and 21 Seconds   |
| #100 | x1  | Genesis/Trespass                                                                             | 42 Minutes and 52 Seconds   |
| #101 | x1  | Foo Fighters/The Colour And The Shape                                                        | 46 Minutes and 54 Seconds   |
| #102 | x1  | Nirvana/Nevermind                                                                            | 59 Minutes and 24 Seconds   |
| #103 | x1  | Breaking Benjamin/We Are Not Alone                                                           | 39 Minutes and 30 Seconds   |
| #104 | x1  | Nine Inch Nails/Pretty Hate Machine                                                          | 48 Minutes and 47 Seconds   |
| #105 | x1  | Nine Inch Nails/With Teeth                                                                   | 56 Minutes and 6 Seconds    |
| #106 | x1  | Rush/Moving Pictures                                                                         | 40 Minutes and 8 Seconds    |
| #107 | x1  | The Beach Boys/Summertime Fun Hits                                                           | 28 Minutes and 17 Seconds   |
| #108 | x1  | Pyotr Ilyich Tchaikovsky/Schwanensee                                                         | 73 Minutes and 12 Seconds   |
| #109 | x1  | Wolfgang Amadeus Mozart/Serenata Notturna                                                    | 13 Minutes and 27 Seconds   |
| #110 | x1  | Johannes Brahms/Symphony No 3                                                                | 49 Minutes and 43 Seconds   |
| #111 | x1  | Dire Straits/Communique                                                                      | 41 Minutes and 59 Seconds   |
| #112 | x1  | Zz Top/Eliminator                                                                            | 45 Minutes and 21 Seconds   |
| #113 | x1  | Phil Collins/Both Sides                                                                      | 67 Minutes and 15 Seconds   |
| #114 | x1  | The Smashing Pumpkins/Machina The Machines Of God                                            | 73 Minutes and 21 Seconds   |
| #115 | x1  | Franz Ferdinand/Franz Ferdinand                                                              | 38 Minutes and 49 Seconds   |
| #116 | x1  | Bush/Sixteen Stone                                                                           | 52 Minutes and 52 Seconds   |
| #117 | x1  | Guns N Roses/Use Your Illusion I                                                             | 76 Minutes and 4 Seconds    |
| #118 | x1  | Guns N Roses/Use Your Illusion Ii                                                            | 75 Minutes and 56 Seconds   |
| #119 | x1  | Blind Melon/Blind Melon                                                                      | 55 Minutes and 24 Seconds   |
| #120 | x1  | Felix Mendelssohn/Symphony No 5                                                              | 30 Minutes and 51 Seconds   |
| #121 | x1  | Joseph Haydn/Vartiationen Uber Thema                                                         | 15 Minutes and 1 Seconds    |
| #122 | x1  | Johannes Brahms/Konzert Fur Violine Und Orschester                                           | 40 Minutes and 11 Seconds   |
| #123 | x1  | Johannes Brahms/Ballades For Piano                                                           | 25 Minutes and 46 Seconds   |
| #124 | x1  | Green Day/Dookie                                                                             | 39 Minutes and 46 Seconds   |
| #125 | x1  | Foreigner/4                                                                                  | 42 Minutes and 40 Seconds   |
| #126 | x1  | Metallica/Reload                                                                             | 76 Minutes and 4 Seconds    |
| #127 | x1  | Gentle Giant/Gentle Giant                                                                    | 37 Minutes and 2 Seconds    |
| #128 | x1  | Prince And The Revolution/Purple Rain                                                        | 43 Minutes and 52 Seconds   |
| #129 | x1  | George Gershwin/Concerto In F                                                                | 66 Minutes and 19 Seconds   |
| #130 | x1  | Nine Inch Nails/Hesitation Marks                                                             | 61 Minutes and 57 Seconds   |
| #131 | x1  | Motley Crue/Motley Crue                                                                      | 60 Minutes and 22 Seconds   |
| #131 | x1  | Motley Crue/Motley Crue                                                                      | 60 Minutes and 22 Seconds   |
| #132 | x1  | The Police/Synchronicity                                                                     | 44 Minutes and 28 Seconds   |
| #133 | x1  | Pink Floyd/Animals                                                                           | 41 Minutes and 47 Seconds   |
| #134 | x1  | Rush/Hold Your Fire                                                                          | 50 Minutes and 30 Seconds   |
| #135 | x1  | Mike Oldfield/Tubular Bells                                                                  | 48 Minutes and 55 Seconds   |
| #136 | x1  | Jethro Tull/Thick As A Brick                                                                 | 43 Minutes and 36 Seconds   |
| #137 | x1  | Vangelis/Invisible Connections                                                               | 39 Minutes and 46 Seconds   |
| #138 | x1  | Night Ranger/7 Wishes                                                                        | 42 Minutes and 20 Seconds   |
| #139 | x1  | The Grateful Dead/In The Dark                                                                | 40 Minutes and 50 Seconds   |
| #139 | x1  | The Grateful Dead/In The Dark                                                                | 40 Minutes and 50 Seconds   |
| #140 | x1  | Alice In Chains/Jar Of Flies                                                                 | 30 Minutes and 51 Seconds   |
| #141 | x1  | The Grateful Dead/American Beauty                                                            | 42 Minutes and 26 Seconds   |
| #142 | x1  | The Clash/The Clash                                                                          | 43 Minutes and 33 Seconds   |
| #143 | x1  | Three Days Grace/One X                                                                       | 43 Minutes and 45 Seconds   |
| #144 | x1  | Alice In Chains/Dirt                                                                         | 57 Minutes and 33 Seconds   |
| #145 | x1  | Johann Strauss Ii/An Der Schonen Blauen Donau                                                | 50 Minutes and 29 Seconds   |
| #146 | x1  | The Killers/Pressure Machine                                                                 | 51 Minutes and 22 Seconds   |
| #147 | x1  | John Cougar Mellencamp/Scarecrow                                                             | 41 Minutes and 8 Seconds    |
