___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2026/3/1 to 2026/3/31                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
| #133 | x1  | Huey Lewis And The News/Fore                                                                 | 37 Minutes and 57 Seconds   |
| #134 | x1  | Bruce Springsteen/Tunnel Of Love                                                             | 46 Minutes and 25 Seconds   |
| #135 | x1  | Billy Joel/Storm Front                                                                       | 44 Minutes and 57 Seconds   |
| #136 | x1  | Pink Floyd/Atom Heart Mother                                                                 | 52 Minutes and 6 Seconds    |
| #137 | x1  | Rush/Rush                                                                                    | 40 Minutes and 18 Seconds   |
| #138 | x1  | Van Halen/Van Halen Iii                                                                      | 65 Minutes and 22 Seconds   |
| #139 | x1  | The Smashing Pumpkins/Thirty Three                                                           | 25 Minutes and 53 Seconds   |
| #140 | x1  | The Smashing Pumpkins/Tonight Tonight                                                        | 21 Minutes and 25 Seconds   |
| #141 | x1  | Eric Clapton/Unplugged                                                                       | 61 Minutes and 46 Seconds   |
| #142 | x1  | Creed/Full Circle                                                                            | 50 Minutes and 44 Seconds   |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
|_________________________________________________________________________________________________________________________________________|

320 listens to albums in total

875084 total seconds spent listening to music, equivalent to 14584 Minutes, 243 Hours or 10 Days. That is 2.74% of the year. That is 33.76% of a month.
