___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2024/12/1 to 2024/12/31                         |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
| #84  | x1  | Abba/Gold Greatest Hits                                                                      | 77 Minutes and 8 Seconds    |
| #85  | x1  | Creed/My Own Prison                                                                          | 49 Minutes and 10 Seconds   |
| #86  | x1  | Pink Floyd/The Wall                                                                          | 81 Minutes and 26 Seconds   |
| #87  | x1  | Dire Straits/Dire Straits                                                                    | 41 Minutes and 25 Seconds   |
| #88  | x1  | Green Day/International Superhits                                                            | 60 Minutes and 43 Seconds   |
| #89  | x1  | Ludwig Van Beethoven/Piano Sonata No 8                                                       | 20 Minutes and 6 Seconds    |
| #90  | x1  | Ludwig Van Beethoven/Klaviersonaten                                                          | 52 Minutes and 5 Seconds    |
| #91  | x1  | Green Day/Insomniac                                                                          | 32 Minutes and 55 Seconds   |
| #92  | x1  | American Hi Fi/American Hi Fi                                                                | 49 Minutes and 1 Seconds    |
| #93  | x1  | Dire Straits/Brothers In Arms                                                                | 55 Minutes and 15 Seconds   |
| #94  | x1  | King Crimson/Islands                                                                         | 41 Minutes and 27 Seconds   |
| #95  | x1  | Green Day/21St Century Breakdown                                                             | 88 Minutes and 10 Seconds   |
| #96  | x1  | Counting Crows/August And Everything After                                                   | 51 Minutes and 43 Seconds   |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
|_________________________________________________________________________________________________________________________________________|

226 listens to albums in total

731299 total seconds spent listening to music, equivalent to 12188 Minutes, 203 Hours or 8 Days. That is 2.19% of the year
Press Enter to continue...
