___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2026/1/1 to 2026/1/31                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
| #84  | x1  | My Sisters Machine/Diva                                                                      | 38 Minutes and 47 Seconds   |
| #85  | x1  | Rush/Hold Your Fire                                                                          | 50 Minutes and 30 Seconds   |
| #86  | x1  | The Clash/London Calling                                                                     | 65 Minutes and 7 Seconds    |
| #87  | x1  | Van Halen/Diver Down                                                                         | 31 Minutes and 29 Seconds   |
| #88  | x1  | Bachman Turner Overdrive/Btos Greatest                                                       | 54 Minutes and 39 Seconds   |
| #89  | x1  | Pink Floyd/Atom Heart Mother                                                                 | 52 Minutes and 6 Seconds    |
| #90  | x1  | Blind Melon/Blind Melon                                                                      | 55 Minutes and 24 Seconds   |
| #91  | x1  | The Killers/Hot Fuss                                                                         | 56 Minutes and 18 Seconds   |
| #92  | x1  | Aerosmith/Get A Grip                                                                         | 62 Minutes and 4 Seconds    |
| #93  | x1  | The Beatles/Magical Mystery Tour                                                             | 36 Minutes and 48 Seconds   |
| #94  | x1  | Genesis/Selling England By The Pound                                                         | 53 Minutes and 48 Seconds   |
| #95  | x1  | Wolfgang Amadeus Mozart/Symphony No 40                                                       | 77 Minutes and 9 Seconds    |
| #96  | x1  | Wolfgang Amadeus Mozart/Symphony No 41                                                       | 77 Minutes and 9 Seconds    |
| #97  | x1  | Wolfgang Amadeus Mozart/Sinfonia Concertante                                                 | 31 Minutes and 31 Seconds   |
| #98  | x1  | Paramore/All We Know Is Falling                                                              | 35 Minutes and 52 Seconds   |
| #99  | x1  | Green Day/Uno                                                                                | 41 Minutes and 48 Seconds   |
| #100 | x1  | Pink Floyd/A Saucerful Of Secrets                                                            | 39 Minutes and 25 Seconds   |
| #101 | x1  | Green Day/Dos                                                                                | 39 Minutes and 28 Seconds   |
| #102 | x1  | Genesis/Wind And Wuthering                                                                   | 50 Minutes and 54 Seconds   |
| #103 | x1  | Prince And The Revolution/Purple Rain                                                        | 43 Minutes and 52 Seconds   |
| #104 | x1  | Led Zeppelin/Houses Of The Holy                                                              | 40 Minutes and 53 Seconds   |
| #105 | x1  | Violent Femmes/Violent Femmes                                                                | 43 Minutes and 45 Seconds   |
| #106 | x1  | Slipknot/We Are Not Your Kind                                                                | 63 Minutes and 37 Seconds   |
| #107 | x1  | Frederic Chopin/Nocturnes                                                                    | 67 Minutes and 39 Seconds   |
| #108 | x1  | Genesis/Foxtrot                                                                              | 51 Minutes and 8 Seconds    |
| #109 | x1  | Blondie/Parallel Lines                                                                       | 41 Minutes and 23 Seconds   |
| #110 | x1  | Nine Inch Nails/The Downward Spiral                                                          | 65 Minutes and 8 Seconds    |
| #111 | x1  | Crowded House/Crowded House                                                                  | 39 Minutes and 1 Seconds    |
| #112 | x1  | Supertramp/Breakfast In America                                                              | 46 Minutes and 0 Seconds    |
| #113 | x1  | Nirvana/Mtv Unplugged In New York                                                            | 53 Minutes and 55 Seconds   |
| #114 | x1  | Alice In Chains/Mtv Unplugged                                                                | 71 Minutes and 29 Seconds   |
| #115 | x1  | Bruce Springsteen/Born In The Usa                                                            | 46 Minutes and 53 Seconds   |
| #116 | x1  | King Crimson/Islands                                                                         | 41 Minutes and 27 Seconds   |
| #117 | x1  | Dire Straits/On Every Street                                                                 | 60 Minutes and 21 Seconds   |
| #118 | x1  | Hater/Hater                                                                                  | 31 Minutes and 11 Seconds   |
| #119 | x1  | Van Halen/1984                                                                               | 33 Minutes and 22 Seconds   |
| #120 | x1  | Wolfmother/Wolfmother                                                                        | 54 Minutes and 32 Seconds   |
| #121 | x1  | Portishead/Portishead                                                                        | 50 Minutes and 34 Seconds   |
| #122 | x1  | Acdc/Who Made Who                                                                            | 38 Minutes and 9 Seconds    |
| #123 | x1  | The Replacements/Sorry Ma                                                                    | 36 Minutes and 45 Seconds   |
| #124 | x1  | Lou Reed/Transformer                                                                         | 37 Minutes and 6 Seconds    |
| #125 | x1  | Mad Season/Above                                                                             | 55 Minutes and 40 Seconds   |
| #126 | x1  | The Clash/From Here To Eternity                                                              | 63 Minutes and 47 Seconds   |
| #127 | x1  | My Bloody Valentine/Loveless                                                                 | 48 Minutes and 36 Seconds   |
| #128 | x1  | Alice In Chains/Rainier Fog                                                                  | 53 Minutes and 54 Seconds   |
| #129 | x1  | The Grateful Dead/Workingmans Dead                                                           | 35 Minutes and 52 Seconds   |
| #130 | x1  | Paramore/After Laughter                                                                      | 42 Minutes and 38 Seconds   |
| #131 | x1  | Metallica/Ride The Lightning                                                                 | 47 Minutes and 26 Seconds   |
| #132 | x1  | Sabrina Carpenter/Short N Sweet                                                              | 36 Minutes and 15 Seconds   |
| #133 | x1  | The Police/Synchronicity                                                                     | 44 Minutes and 28 Seconds   |
