___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2025/5/1 to 2025/5/31                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
| #78  | x1  | Dire Straits/Money For Nothing                                                               | 66 Minutes and 23 Seconds   |
| #79  | x1  | Pink Floyd/The Wall                                                                          | 81 Minutes and 26 Seconds   |
| #80  | x1  | Rammstein/Herzeleid                                                                          | 49 Minutes and 33 Seconds   |
| #81  | x1  | Blondie/The Best Of Blondie                                                                  | 44 Minutes and 10 Seconds   |
| #82  | x1  | Nine Inch Nails/Pretty Hate Machine                                                          | 48 Minutes and 47 Seconds   |
| #83  | x1  | Wolfmother/Wolfmother                                                                        | 54 Minutes and 32 Seconds   |
| #84  | x1  | Various Artists/Top Gun Original Motion Picture Soundtrack                                   | 38 Minutes and 44 Seconds   |
| #85  | x1  | Metallica/And Justice For All                                                                | 65 Minutes and 27 Seconds   |
| #86  | x1  | Rob Zombie/Hellbilly Deluxe                                                                  | 38 Minutes and 29 Seconds   |
| #87  | x1  | Fiona Apple/Tidal                                                                            | 51 Minutes and 42 Seconds   |
| #88  | x1  | Pyotr Ilyich Tchaikovsky/Konzerte Fur Blockflote                                             | 49 Minutes and 40 Seconds   |
| #89  | x1  | The Clash/Combat Rock                                                                        | 46 Minutes and 3 Seconds    |
| #90  | x1  | Rush/Moving Pictures                                                                         | 40 Minutes and 8 Seconds    |
| #91  | x1  | Van Halen/Diver Down                                                                         | 31 Minutes and 29 Seconds   |
| #92  | x1  | Green River/Dry As A Bone                                                                    | 57 Minutes and 45 Seconds   |
| #93  | x1  | Honeymoon Suite/The Singles                                                                  | 51 Minutes and 8 Seconds    |
| #94  | x1  | Nine Inch Nails/The Downward Spiral                                                          | 65 Minutes and 8 Seconds    |
| #95  | x1  | Prince And The Revolution/Purple Rain                                                        | 43 Minutes and 52 Seconds   |
| #96  | x1  | Creedence Clearwater Revival/Pendulum                                                        | 41 Minutes and 38 Seconds   |
| #97  | x1  | Primitive Radio Gods/Rocket                                                                  | 46 Minutes and 22 Seconds   |
| #98  | x1  | Marcy Playground/Marcy Playground                                                            | 34 Minutes and 38 Seconds   |
| #99  | x1  | The Clash/Sandinista                                                                         | 144 Minutes and 42 Seconds  |
| #100 | x1  | Babe Ruth/First Base                                                                         | 42 Minutes and 2 Seconds    |
| #101 | x1  | The Smashing Pumpkins/Mellon Collie And The Infinite Sadness                                 | 121 Minutes and 51 Seconds  |
| #102 | x1  | The Tuesdays/The Tuesdays                                                                    | 44 Minutes and 35 Seconds   |
| #103 | x1  | Pink Floyd/Animals                                                                           | 41 Minutes and 47 Seconds   |
| #104 | x1  | Billy Joel/An Innocent Man                                                                   | 40 Minutes and 21 Seconds   |
| #105 | x1  | Rush/Rush                                                                                    | 40 Minutes and 18 Seconds   |
| #106 | x1  | Soundgarden/Superunknown                                                                     | 70 Minutes and 12 Seconds   |
| #107 | x1  | Various Artists/La Bamba Original Motion Picture Soundtrack                                  | 31 Minutes and 24 Seconds   |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
|_________________________________________________________________________________________________________________________________________|

311 listens to albums in total

862627 total seconds spent listening to music, equivalent to 14377 Minutes, 239 Hours or 9 Days. That is 2.47% of the year. That is 33.28% of a month.
Press Enter to continue...  
