___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2026/2/1 to 2026/2/28                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
| #83  | x1  | The Doors/Waiting For The Sun                                                                | 33 Minutes and 12 Seconds   |
| #84  | x1  | Candlebox/Candlebox                                                                          | 53 Minutes and 25 Seconds   |
| #85  | x1  | The All American Rejects/Move Along                                                          | 42 Minutes and 14 Seconds   |
| #86  | x1  | Green Day/21St Century Breakdown                                                             | 88 Minutes and 10 Seconds   |
| #87  | x1  | The Clash/The Clash                                                                          | 43 Minutes and 33 Seconds   |
| #88  | x1  | Taylor Swift/1989                                                                            | 56 Minutes and 43 Seconds   |
| #89  | x1  | Pink Floyd/The Division Bell                                                                 | 66 Minutes and 31 Seconds   |
| #90  | x1  | Incubus/Science                                                                              | 55 Minutes and 50 Seconds   |
| #91  | x1  | John Cougar Mellencamp/Scarecrow                                                             | 41 Minutes and 8 Seconds    |
| #92  | x1  | Jethro Tull/Thick As A Brick                                                                 | 43 Minutes and 36 Seconds   |
| #93  | x1  | Led Zeppelin/Coda                                                                            | 33 Minutes and 0 Seconds    |
| #94  | x1  | Violent Femmes/Violent Femmes                                                                | 43 Minutes and 45 Seconds   |
| #95  | x1  | Skin Yard/1000 Smiling Knuckles                                                              | 34 Minutes and 41 Seconds   |
| #96  | x1  | Van Halen/1984                                                                               | 33 Minutes and 22 Seconds   |
| #97  | x1  | Genesis/A Trick Of The Tail                                                                  | 51 Minutes and 10 Seconds   |
| #98  | x1  | The Police/Ghost In The Machine                                                              | 41 Minutes and 9 Seconds    |
| #99  | x1  | Tears For Fears/Songs From The Big Chair                                                     | 41 Minutes and 50 Seconds   |
| #100 | x1  | Green Day/Dos                                                                                | 39 Minutes and 28 Seconds   |
| #101 | x1  | Pearl Jam/Ten                                                                                | 53 Minutes and 24 Seconds   |
| #102 | x1  | Taylor Swift/Red                                                                             | 90 Minutes and 38 Seconds   |
| #103 | x1  | Supertramp/Supertramp                                                                        | 47 Minutes and 50 Seconds   |
| #104 | x1  | My Sisters Machine/Diva                                                                      | 38 Minutes and 47 Seconds   |
| #105 | x1  | Creedence Clearwater Revival/Pendulum                                                        | 41 Minutes and 38 Seconds   |
| #106 | x1  | My Chemical Romance/The Black Parade                                                         | 51 Minutes and 57 Seconds   |
| #107 | x1  | Green Day/American Idiot                                                                     | 65 Minutes and 9 Seconds    |
| #108 | x1  | Pink Floyd/Animals                                                                           | 41 Minutes and 47 Seconds   |
| #109 | x1  | Counting Crows/August And Everything After                                                   | 51 Minutes and 43 Seconds   |
| #110 | x1  | Oasis/(Whats The Story) Morning Glory                                                        | 50 Minutes and 6 Seconds    |
| #111 | x1  | Porno For Pyros/Porno For Pyros                                                              | 39 Minutes and 33 Seconds   |
| #112 | x1  | King Crimson/In The Court Of The Crimson King                                                | 43 Minutes and 54 Seconds   |
| #113 | x1  | Def Leppard/Hysteria                                                                         | 62 Minutes and 37 Seconds   |
| #114 | x1  | Rob Zombie/Hellbilly Deluxe                                                                  | 38 Minutes and 29 Seconds   |
| #115 | x1  | Third Eye Blind/Blue                                                                         | 69 Minutes and 6 Seconds    |
| #116 | x1  | Rush/Counterparts                                                                            | 54 Minutes and 24 Seconds   |
| #117 | x1  | Foreigner/Agent Provocateur                                                                  | 42 Minutes and 31 Seconds   |
| #118 | x1  | The Police/Synchronicity                                                                     | 44 Minutes and 28 Seconds   |
| #119 | x1  | Janes Addiction/Janes Addiction                                                              | 40 Minutes and 1 Seconds    |
| #119 | x1  | Janes Addiction/Janes Addiction                                                              | 40 Minutes and 1 Seconds    |
| #120 | x1  | Lou Reed/Transformer                                                                         | 37 Minutes and 6 Seconds    |
| #121 | x1  | Rem/Lifes Rich Pageant                                                                       | 38 Minutes and 29 Seconds   |
